Year,Year ending,Offence Division,Offence Subdivision,Offence Group,Victim Reports,"Rate per 100,000 population"
2017,September,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,235,3.7
2017,September,A Crimes against the person,A40 Abduction and related offences,A40 Abduction and related offences,486,7.7
2017,September,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,415",38.3
2017,September,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,329,5.2
2017,September,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,88,1.4
2017,September,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,44,0.7
2017,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A71 Stalking & A72 Harassment and private nuisance,"2,054",32.6
2017,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A73 Threatening behaviour,"4,877",77.4
2017,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A80 Dangerous and negligent acts endangering people,"3,427",54.4
2017,September,B Property and deception offences,B10 Arson,B10 Arson,"1,769",28.1
2017,September,B Property and deception offences,B20 Property damage,B21 Criminal damage,"23,504",373.1
2017,September,B Property and deception offences,B20 Property damage,B22 Graffiti,938,14.9
2017,September,B Property and deception offences,B20 Property damage,B29 Other property damage offences,324,5.1
2017,September,B Property and deception offences,B30 Burglary/Break and enter,B31 Aggravated burglary,"3,632",57.7
2017,September,B Property and deception offences,B30 Burglary/Break and enter,B32 Non-aggravated burglary,"28,960",459.7
2017,September,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"15,336",243.4
2017,September,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"51,073",810.7
2017,September,B Property and deception offences,B40 Theft,B43 Steal from a retail store,209,3.3
2017,September,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"5,767",91.5
2017,September,B Property and deception offences,B40 Theft,Other theft offences,"25,022",397.2
2017,September,B Property and deception offences,B50 Deception,B50 Deception,"5,010",79.5
2017,September,C Other offences,C Other offences,C Other offences,43,0.7
2016,September,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,193,3.1
2016,September,A Crimes against the person,A20 Assault and related offences,A21 Serious assault,"16,426",266.1
2016,September,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","2,890",46.8
2016,September,A Crimes against the person,A20 Assault and related offences,A23 Common assault,"21,346",345.8
2016,September,A Crimes against the person,A30 Sexual offences,A31 Rape,"3,166",51.3
2016,September,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"3,920",63.5
2016,September,A Crimes against the person,A30 Sexual offences,A33 Incest,222,3.6
2016,September,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,153,2.5
2016,September,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,65,1.1
2016,September,A Crimes against the person,A40 Abduction and related offences,A40 Abduction and related offences,537,8.7
2016,September,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"2,392",38.7
2016,September,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,326,5.3
2016,September,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,98,1.6
2016,September,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,42,0.7
2016,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A71 Stalking & A72 Harassment and private nuisance,"2,154",34.9
2016,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A73 Threatening behaviour,"5,001",81.0
2016,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A80 Dangerous and negligent acts endangering people,"3,396",55.0
2016,September,B Property and deception offences,B10 Arson,B10 Arson,"2,258",36.6
2016,September,B Property and deception offences,B20 Property damage,B21 Criminal damage,"24,983",404.7
2016,September,B Property and deception offences,B20 Property damage,B22 Graffiti,"1,065",17.3
2016,September,B Property and deception offences,B20 Property damage,B29 Other property damage offences,307,5.0
2016,September,B Property and deception offences,B30 Burglary/Break and enter,B31 Aggravated burglary,"3,759",60.9
2016,September,B Property and deception offences,B30 Burglary/Break and enter,B32 Non-aggravated burglary,"31,915",517.0
2016,September,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"18,333",297.0
2016,September,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"59,800",968.7
2016,September,B Property and deception offences,B40 Theft,B43 Steal from a retail store,311,5.0
2016,September,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"6,685",108.3
2016,September,B Property and deception offences,B40 Theft,Other theft offences,"28,274",458.0
2016,September,B Property and deception offences,B50 Deception,B50 Deception,"3,606",58.4
2016,September,C Other offences,C Other offences,C Other offences,194,3.1
2015,September,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,170,2.8
2015,September,A Crimes against the person,A20 Assault and related offences,A21 Serious assault,"15,570",258.5
2015,September,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer","2,766",45.9
2015,September,A Crimes against the person,A20 Assault and related offences,A23 Common assault,"17,904",297.3
2015,September,A Crimes against the person,A30 Sexual offences,A31 Rape,"2,781",46.2
2015,September,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,"3,349",55.6
2015,September,A Crimes against the person,A30 Sexual offences,A33 Incest,202,3.4
2015,September,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,95,1.6
2015,September,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,27,0.4
2015,September,A Crimes against the person,A40 Abduction and related offences,A40 Abduction and related offences,468,7.8
2015,September,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,"1,864",31.0
2015,September,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,214,3.6
2015,September,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,118,2.0
2015,September,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,42,0.7
2015,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A71 Stalking & A72 Harassment and private nuisance,"1,978",32.8
2015,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A73 Threatening behaviour,"4,626",76.8
2015,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A80 Dangerous and negligent acts endangering people,"2,653",44.1
2015,September,B Property and deception offences,B10 Arson,B10 Arson,"1,750",29.1
2015,September,B Property and deception offences,B20 Property damage,B21 Criminal damage,"23,370",388.1
2015,September,B Property and deception offences,B20 Property damage,B22 Graffiti,"1,390",23.1
2015,September,B Property and deception offences,B20 Property damage,B29 Other property damage offences,264,4.4
2015,September,B Property and deception offences,B30 Burglary/Break and enter,B31 Aggravated burglary,"2,688",44.6
2015,September,B Property and deception offences,B30 Burglary/Break and enter,B32 Non-aggravated burglary,"29,134",483.8
2015,September,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,"14,601",242.4
2015,September,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,"47,580",790.1
2015,September,B Property and deception offences,B40 Theft,B43 Steal from a retail store,398,6.6
2015,September,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,"5,845",97.1
